"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"MT2A"	5.57083189028561e-09	0.472948697077805	0.566	0.388	0.000147978007501657	"1"	"MT2A"
"ELMO2"	5.97962551339013e-09	0.626758057671771	0.34	0.173	0.000158836792512182	"1"	"ELMO2"
"ARAP2"	7.97616198060421e-09	0.46560676529626	0.531	0.334	0.00021187079069079	"1"	"ARAP2"
"C16orf13"	9.15937411325418e-09	0.651759169184343	0.369	0.2	0.000243300454570371	"1"	"C16orf13"
"HIPK2"	9.30916842841033e-09	0.505917987771884	0.33	0.174	0.000247279440963864	"1"	"HIPK2"
"RP11-466H18.1"	1.22608933342801e-08	0.382018238115216	0.764	0.559	0.000325686109638482	"1"	"RP11-466H18.1"
"ABHD2"	1.3604047598978e-08	0.519312268229573	0.35	0.187	0.000361364316371652	"1"	"ABHD2"
"CECR1"	1.37134471868473e-08	0.603924099754021	0.278	0.131	0.000364270297624224	"1"	"CECR1"
"NAP1L4"	1.619756505761e-08	0.365678237410703	0.767	0.557	0.000430255920625294	"1"	"NAP1L4"
"STOM"	1.62420420206921e-08	0.586656637742813	0.447	0.259	0.000431437362195643	"1"	"STOM"
"SEMA4D"	1.63879879303373e-08	0.414711380827859	0.641	0.426	0.000435314123393549	"1"	"SEMA4D"
"SNRPC"	1.83885028983756e-08	0.59970559464373	0.382	0.202	0.000488453802489552	"1"	"SNRPC"
"LBH"	1.94291419520599e-08	0.314024554205062	0.809	0.663	0.000516096297672568	"1"	"LBH"
"ASAP1"	2.01671954130818e-08	0.560551661022311	0.288	0.145	0.000535701211757691	"1"	"ASAP1"
"ATXN1"	2.41563128719213e-08	0.400353506836982	0.696	0.484	0.000641664138816847	"1"	"ATXN1"
"ATP5G3"	2.69130452595987e-08	0.522931754634694	0.615	0.397	0.000714891221230719	"1"	"ATP5G3"
"RBPJ"	3.05137866461458e-08	0.393531596622601	0.741	0.552	0.000810537714681571	"1"	"RBPJ"
"SMARCA2"	3.17508667750884e-08	0.475080284267844	0.518	0.327	0.000843398274146674	"1"	"SMARCA2"
"PRPS2"	3.34042243565968e-08	0.603998953196167	0.278	0.137	0.000887316411584282	"1"	"PRPS2"
"C16orf54"	4.30857595952524e-08	0.418167029266413	0.706	0.484	0.00114448703212869	"1"	"C16orf54"
"AC104698.1"	5.11478001522136e-08	0.368782084163122	0.718	0.548	0.00135863901544325	"1"	"AC104698.1"
"SIPA1L1"	5.36125559229112e-08	0.486783840524221	0.443	0.267	0.00142411032298029	"1"	"SIPA1L1"
"CCDC109B"	5.45375052737736e-08	0.588761846256476	0.282	0.139	0.00144867975258725	"1"	"CCDC109B"
"CAPZB"	5.51481077406369e-08	0.300554976630164	0.887	0.719	0.00146489918591454	"1"	"CAPZB"
"WSB2"	5.73001110515801e-08	0.599094747686189	0.307	0.17	0.00152206284986312	"1"	"WSB2"
"PSME2"	6.5428323633851e-08	0.38778774420501	0.806	0.605	0.00173797256068598	"1"	"PSME2"
"SLC25A6"	7.14603666678714e-08	0.296316835762287	0.916	0.736	0.00189820171979867	"1"	"SLC25A6"
"RPL36A"	7.26174887057245e-08	0.295165120908094	0.848	0.688	0.00192893835249016	"1"	"RPL36A"
"CPT1A"	7.57415690716382e-08	0.45163465424997	0.353	0.197	0.00201192329924993	"1"	"CPT1A"
"RILPL2"	9.74655931550169e-08	0.514599633419777	0.437	0.258	0.00258897855097671	"1"	"RILPL2"
"IDH3B"	1.05012762267932e-07	0.518738690306868	0.482	0.307	0.00278945400412308	"1"	"IDH3B"
"PSTPIP1"	1.18326612655651e-07	0.476541920729951	0.599	0.395	0.00314310981197205	"1"	"PSTPIP1"
"PPIE"	1.20761599957401e-07	0.499135673271136	0.466	0.29	0.00320779037966845	"1"	"PPIE"
"CTSB"	1.21949884378585e-07	0.331154472301615	0.819	0.649	0.00323935477874837	"1"	"CTSB"
"TSC22D4"	1.40278047440742e-07	0.395109383762057	0.307	0.158	0.00372620577416844	"1"	"TSC22D4"
"MTHFD2"	1.45952676353858e-07	0.464970803989002	0.55	0.373	0.00387694094198752	"1"	"MTHFD2"
"HMGB1P5"	1.57768721231227e-07	0.331368459936739	0.786	0.595	0.0041908105420651	"1"	"HMGB1P5"
"NPDC1"	1.6190718935288e-07	0.586346712843792	0.259	0.126	0.00430074067078055	"1"	"NPDC1"
"LAP3"	1.63589276591731e-07	0.522301727064727	0.443	0.267	0.00434542195410614	"1"	"LAP3"
"MSN"	1.66560130913051e-07	0.316935473598503	0.906	0.727	0.00442433675744338	"1"	"MSN"
"KIAA0319L"	1.71337617409328e-07	0.45154669379235	0.528	0.358	0.00455124113124398	"1"	"KIAA0319L"
"HINT1"	1.76092596735295e-07	0.378995384606755	0.822	0.61	0.00467754764707964	"1"	"HINT1"
"SLC9A9"	1.89420040150044e-07	0.528325211446222	0.346	0.186	0.00503156452650562	"1"	"SLC9A9"
"SHFM1"	1.91035631932156e-07	0.478382104304168	0.515	0.326	0.00507447949101387	"1"	"SHFM1"
"HMGB1"	2.01928750124051e-07	0.250662702429279	0.906	0.772	0.00536383338954516	"1"	"HMGB1"
"LPAR6"	2.02248405766114e-07	0.520001889797936	0.256	0.124	0.00537232440236528	"1"	"LPAR6"
"ACAT1"	2.10175176083381e-07	0.589551796345534	0.301	0.163	0.00558288320230284	"1"	"ACAT1"
"ATP5J2"	2.116306676257e-07	0.534354903706484	0.398	0.228	0.00562154542414147	"1"	"ATP5J2"
"C9orf16"	2.19341269250137e-07	0.437424880033293	0.654	0.451	0.0058263621350914	"1"	"C9orf16"
"STAT4"	2.20147815150989e-07	0.357652036787567	0.773	0.57	0.00584778641385572	"1"	"STAT4"
"TPI1P1"	2.23312222666136e-07	0.328635119324002	0.592	0.422	0.00593184257068057	"1"	"TPI1P1"
"RGS2"	2.25081729880883e-07	0.48284938890522	0.625	0.429	0.0059788459908259	"1"	"RGS2"
"TSPO"	2.44025258956122e-07	0.489687946295331	0.618	0.401	0.00648204295365148	"1"	"TSPO"
"AHI1"	2.73096094151599e-07	0.4718125796227	0.401	0.242	0.00725425154894893	"1"	"AHI1"
"KLRB1"	3.23232438135911e-07	0.507140947045092	0.453	0.283	0.0085860232542042	"1"	"KLRB1"
"NDUFA12"	3.47228797306407e-07	0.568796080033196	0.304	0.157	0.00922343854285009	"1"	"NDUFA12"
"RPS4XP22"	3.48492374314314e-07	0.264007258061512	0.706	0.574	0.00925700293891113	"1"	"RPS4XP22"
"AGFG1"	3.52897804999401e-07	0.575574528661278	0.262	0.14	0.00937402439419909	"1"	"AGFG1"
"NDUFV2"	3.54478585598202e-07	0.405297901660686	0.712	0.509	0.00941601466924505	"1"	"NDUFV2"
"CLPP"	3.77095898887185e-07	0.527876809217651	0.395	0.222	0.0100167983621403	"1"	"CLPP"
"PHYKPL"	3.83114924486319e-07	0.454080861213214	0.479	0.306	0.0101766817391301	"1"	"PHYKPL"
"MOB1A"	3.85783523476306e-07	0.366785457512919	0.722	0.532	0.0102475677341011	"1"	"MOB1A"
"ABLIM1"	4.0178953892248e-07	0.425584753135904	0.35	0.192	0.0106727355223978	"1"	"ABLIM1"
"SLA"	4.12715992951215e-07	0.284613762410318	0.848	0.696	0.0109629749207631	"1"	"SLA"
"CPSF6"	4.33321701750937e-07	0.441803110613018	0.469	0.3	0.0115103243636102	"1"	"CPSF6"
"ANXA1"	4.36203314731578e-07	0.572066442133597	0.343	0.191	0.0115868686492149	"1"	"ANXA1"
"TMEM123"	4.45287553948101e-07	0.47842326790881	0.563	0.377	0.0118281732955234	"1"	"TMEM123"
