"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"LMNA"	9.53704069611404e-06	0.504023282521425	0.402	0.281	0.253332412010877
"IFI44"	9.7585293218776e-06	-0.677702969967736	0.084	0.205	0.259215814377035
"KDM5D"	1.01738264003721e-05	0.461205282599586	0.319	0.186	0.270247350673083
"FOXP3"	1.43855640080701e-05	-0.436233087796278	0.343	0.487	0.382123736746365
"ABLIM1"	1.48861437716146e-05	0.497167252546323	0.335	0.207	0.395420637005398
"PILRB"	1.51118699860912e-05	0.469848814346485	0.378	0.253	0.401416602440542
"ATP5E"	1.53860697319142e-05	-0.267971258989528	0.582	0.717	0.408700170288837
"HLA-DRB1"	1.80814172157396e-05	-0.356144618858978	0.422	0.555	0.480296685501691
"KCNA3"	1.85612475788907e-05	0.41188084958226	0.207	0.102	0.493042419438074
"APOL2"	1.92609747944226e-05	-0.432510603340324	0.335	0.477	0.511629273464246
"GTF2IP1"	1.97537156225799e-05	0.27057283657536	0.151	0.067	0.524717948082589
"GUCD1"	2.03791339377577e-05	0.491472327401794	0.183	0.089	0.541330934788659
"PLEC"	2.04235531942622e-05	0.365553135087169	0.466	0.327	0.542510843499187
"RGPD5"	2.06268240515067e-05	0.310044531228384	0.665	0.556	0.547910327280172
"GTF2I"	2.15901845669928e-05	0.461422117633726	0.426	0.304	0.573500072653029
"CHORDC1"	2.18864927979008e-05	0.426137786297478	0.466	0.344	0.58137090819064
"RP11-44N11.1"	2.32505420854978e-05	0.293340212199318	0.12	0.045	0.617604149417078
"P2RY8"	2.40375771157737e-05	0.473522292387248	0.351	0.232	0.638510160926296
"VDR"	2.55121042975452e-05	-0.499062963969187	0.191	0.328	0.677678026455692
"TUBB4B"	2.55223956204858e-05	0.386087733839221	0.502	0.378	0.677951394866965
"SLC5A3"	2.71257015679741e-05	0.454323656466151	0.315	0.204	0.720540010750095
"SLAMF1"	2.77015759737067e-05	-0.457643050725901	0.271	0.426	0.735836962589572
"IFI16"	2.88091895027456e-05	-0.30432801422114	0.526	0.681	0.765258500761431
"BRK1"	3.34639849834856e-05	-0.355870506328326	0.426	0.565	0.888903833116328
"TMEM87B"	3.45409103835514e-05	0.499372916014316	0.195	0.101	0.917510202518276
"DNPH1"	3.47168315377993e-05	-0.443287056843501	0.327	0.473	0.922183196138562
"H2AFV"	3.62520500960811e-05	0.467322155851362	0.343	0.211	0.962963206702201
"SESN2"	3.69056379678485e-05	0.467978569174104	0.195	0.101	0.980324461339959
"TNFRSF18"	3.73197148526648e-05	-0.309731042279811	0.514	0.649	0.991323585631336
"KLF12"	3.93855996240102e-05	0.392712381507451	0.49	0.373	1
"IL2RA"	3.99826079071423e-05	-0.536557263360609	0.219	0.348	1
"MIER1"	4.51800846141256e-05	-0.323457220421623	0.482	0.612	1
"PRKY"	4.77797571540998e-05	0.357737153692461	0.199	0.101	1
"LGALS1"	4.79592951879821e-05	-0.602533481027918	0.127	0.25	1
"RP11-347P5.1"	4.86554634345486e-05	-0.273390738209946	0.562	0.732	1
"RGPD6"	5.17306923655463e-05	0.352587132857313	0.514	0.386	1
